338dc903-4cbc-467b-8d7f-675efdca3049	Microsoft.Portal/dashboards	dashboards	northcentralus
Admin-VM-01	Microsoft.Compute/virtualMachines	XF-VM-RG	northcentralus
Admin-VM-01_OsDisk_1_ae1bfe4ae79041f5922c61d7d72d8e86	Microsoft.Compute/disks	XF-VM-RG	northcentralus
Admin-VM-01-ip	Microsoft.Network/publicIPAddresses	XF-VM-RG	northcentralus
Admin-VM-01-nsg	Microsoft.Network/networkSecurityGroups	XF-VM-RG	northcentralus
Admin-VM-01/AzureNetworkWatcherExtension	Microsoft.Compute/virtualMachines/extensions	XF-VM-RG	northcentralus
Admin-VM-01/enablevmaccess	Microsoft.Compute/virtualMachines/extensions	XF-VM-RG	northcentralus
Admin-VM-01/MicrosoftMonitoringAgent	Microsoft.Compute/virtualMachines/extensions	XF-VM-RG	northcentralus
admin-vm-01763	Microsoft.Network/networkInterfaces	XF-VM-RG	northcentralus
andriy-disk-image-0	Microsoft.Compute/snapshots	MtgTech-User-VMs	northcentralus
andriy-im01-12022020	Microsoft.Compute/disks	XF-VM-RG	northcentralus
Application Insights Smart Detection	microsoft.insights/actiongroups	encompasssyncfunc	global
ChatGPT-VM-ip	Microsoft.Network/publicIPAddresses	XF-VM-RG	westus2
ChatGPT-VM-nsg	Microsoft.Network/networkSecurityGroups	XF-VM-RG	westus2
chatgpt-vm299	Microsoft.Network/networkInterfaces	XF-VM-RG	westus2
cs7d67f85c22653x4e11x99b	Microsoft.Storage/storageAccounts	cloud-shell-storage-southcentralus	southcentralus
DefaultWorkspace-d67f85c2-2653-4e11-99b7-8d9d776f246f-NCUS	Microsoft.OperationalInsights/workspaces	DefaultResourceGroup-NCUS	northcentralus
DefaultWorkspace-d67f85c2-2653-4e11-99b7-8d9d776f246f-WUS2	Microsoft.OperationalInsights/workspaces	DefaultResourceGroup-WUS2	westus2
Dev-Jim	Microsoft.Compute/virtualMachines	XF-VM-RG	northcentralus
Dev-Jim-ip	Microsoft.Network/publicIPAddresses	MTGTech-LAN	northcentralus
Dev-Jim-ip	Microsoft.Network/publicIPAddresses	XF-VM-RG	northcentralus
Dev-Jim-nsg	Microsoft.Network/networkSecurityGroups	MTGTech-LAN	northcentralus
Dev-Jim-nsg	Microsoft.Network/networkSecurityGroups	XF-VM-RG	northcentralus
Dev-Jim/AzureNetworkWatcherExtension	Microsoft.Compute/virtualMachines/extensions	XF-VM-RG	northcentralus
Dev-Jim/MDE.Windows	Microsoft.Compute/virtualMachines/extensions	XF-VM-RG	northcentralus
Dev-Jim/MicrosoftMonitoringAgent	Microsoft.Compute/virtualMachines/extensions	XF-VM-RG	northcentralus
dev-jim697	Microsoft.Network/networkInterfaces	XF-VM-RG	northcentralus
Dev-Kris-VM01_disk1_c64d300a30c245d79e61fb1c8503f83a	Microsoft.Compute/disks	XF-VM-RG	westus2
Dev-Kris-VM02	Microsoft.Compute/virtualMachines	XF-VM-RG	northcentralus
Dev-Kris-VM02_OsDisk_1_2b2e5aae13264989a315b64579749a33	Microsoft.Compute/disks	XF-VM-RG	northcentralus
Dev-Kris-VM02-ip	Microsoft.Network/publicIPAddresses	XF-VM-RG	northcentralus
Dev-Kris-VM02-nsg	Microsoft.Network/networkSecurityGroups	XF-VM-RG	northcentralus
